first_name,last_name,price,above_100
William,Dixon,109.0372796,t
Kristen,Horn,262.5246522,t
Kimberly,Chang,187.0072583,t
Mary,Ball,283.1746476,t
Benjamin,Craig,143.8715817,t
Cathy,Werner,61.50899135,f
Brandon,Bell,48.6373091,f
Paul,Farley,12.38946479,f
Sarah,Mcdaniel,151.5954472,t
Caroline,Anderson,75.62152103,f
Carl,Jones,147.0294047,t
Scott,Lee,244.1856527,t
Kaylee,Coleman,17.86427032,f
Charles,Parker,215.537283,t
Susan,Hess,38.35997063,f
Kiara,Collier,204.1825486,t
Scott,Martinez,165.8514289,t
Christopher,Ortega,30.30144506,f
Michael,Russell,243.1724911,t
Dwayne,Johnson,287.4932856,t
Patty,Smith,180.2344257,t
Deanna,Sherman,99.79911842,f
Douglas,Francis,161.7688908,t
Vicki,Diaz,18.64987672,f
Robin,Phillips,244.9119836,t
Travis,Rice,141.4988254,t
Ashley,Rocha,50.00303731,f
Sarah,Jacobson,80.48182457,f
Kayla,Shannon,98.91531394,f
Sean,Wang,220.6282177,t
Richard,Estrada,49.16869151,f
Joseph,Torres,150.1237842,t
Kim,Jones,18.8434377,f
Melissa,Tanner,269.1840299,t
Jackson,Cline,64.31251721,f
Sonya,Foster,296.2155012,t
Allen,Williams,15.3908317,f
Thomas,Rivera,95.22843716,f
Jamie,Silva,296.8244075,t
Kathleen,Moore,92.50052419,f
Evelyn,Pineda,169.2289293,t
Kyle,Peters,106.7990952,t
Anthony,Cruz,49.10199817,f
Eric,Flores,122.9556986,t
Anna,Richardson,254.4952606,t
Gary,Harper,47.59652592,f
Linda,Johnson,115.3627815,t
Melissa,Smith,87.97994846,f
Kristen,Floyd,135.0230413,t
William,Diaz,192.1491355,t
Benjamin,Smith,134.9052939,t
David,Glenn,216.2910463,t
Dawn,Jones,271.6144999,t
Joel,Smith,14.4949198,f
Larry,Grimes,268.6758682,t
Joseph,Arnold,121.7750468,t
Kyle,Long,241.6216391,t
Brittany,Day,261.5460574,t
Bobby,Ward,63.5130358,f
Thomas,Lee,254.0755771,t
Jennifer,Hansen,101.4887352,t
Lisa,Murray,176.0919174,t
Meghan,Wade,273.2303409,t
Tammie,Brooks,84.88856949,f
Maria,Bell,264.0746652,t
Allison,Livingston,130.3484426,t
Chris,Hays,17.34276379,f
Courtney,Mitchell,78.93257699,f
Shawn,White,188.0219256,t
Taylor,Gomez,225.0198237,t
Jeremy,Rodriguez,200.7248208,t
April,Garcia,66.24555967,f
Zachary,Watts,15.49738786,f
Sarah,Montoya,206.8212547,t
Jennifer,Barker,89.18615989,f
Sharon,Garza,72.35772704,f
Tiffany,Stevens,196.379322,t
Ruben,Armstrong,93.69836738,f
Jeffrey,Spencer,271.162282,t
Nicole,Ramsey,247.8596071,t
Anne,Roy,277.9324821,t
Lori,Sanchez,285.6616405,t
Allison,Chavez,126.850211,t
Marcus,Adams,36.47040894,f
Mary,Smith,16.31507197,f
Joseph,Reed,178.4576742,t
Jason,Armstrong,26.04525746,f
Jeff,Armstrong,88.47561284,f
Sean,Shields,247.8395255,t
Jessica,Allison,104.742308,t
Christian,Grant,99.11707917,f
Edward,Watson,180.3535589,t
Derrick,Cooke,142.090116,t
Arthur,Hall,235.9669749,t
Sean,Patrick,139.4507994,t
Heather,Collins,127.3925734,t
Megan,Gomez,107.8624451,t
William,Hale,114.6709254,t
Olivia,Thompson,8.608441014,f
Lori,Torres,18.85827433,f
Vickie,Hernandez,214.9321807,t
Kimberly,Brown,40.3199327,f
Sherry,Meza,182.8545499,t
Phillip,Hansen,44.11611704,f
Jeanette,Knight,28.68694329,f
Kayla,Hanson,27.63036397,f
James,Johnston,284.4290554,t
John,Porter,53.72799274,f
Elizabeth,Reyes,93.68075684,f
Kristen,Henry,77.00624357,f
Claudia,Anderson,160.3401593,t
Nicholas,Webb,18.71038619,f
Allison,Cooper,206.0421068,t
Zachary,Barnes,280.7741315,t
Gregory,III,265.9765808,t
Terry,Ayers,16.51163899,f
Jessica,Wilson,290.4095461,t
Daniel,Frazier,190.3291917,t
Brian,Welch,218.2505083,t
Carol,Chavez,123.1834427,t
Ethan,Mcdonald,214.3503174,t
Gerald,Martinez,57.54786356,f
Eric,King,59.87926423,f
Sylvia,Walters,110.9463132,t
Jonathan,Lane,64.46710142,f
Matthew,Turner,180.2628702,t
Jeffrey,Bauer,30.51584181,f
Jessica,Shaffer,54.90193651,f
Chris,Spencer,251.3752831,t
Mary,Clarke,236.0529879,t
Timothy,Mendoza,105.9834816,t
Alicia,Hoffman,182.343699,t
Joseph,Gardner,144.8091344,t
Rachael,Rangel,297.9496406,t
Jeffrey,Harrington,194.2716338,t
Sophia,Randolph,158.543126,t
Debbie,Freeman,275.8719167,t
Matthew,Braun,201.7749657,t
Sheri,Hudson,268.3748402,t
Mary,King,204.0785754,t
Beth,Davis,155.0680648,t
Margaret,Castillo,193.9063244,t
Tommy,Sandoval,172.283041,t
Christopher,Hines,46.55435299,f
Richard,Wright,208.3596969,t
Michael,Brown,278.5230886,t
Nathan,Yu,134.1895098,t
Cameron,Ford,248.8921382,t
Carla,Hayes,265.3745759,t
Marissa,Matthews,136.0925777,t
Samuel,Thompson,237.1592416,t
Gary,Figueroa,168.9447684,t
Michael,West,146.8886849,t
Martin,Walton,140.3400576,t
Zachary,Lee,8.667301583,f
Christopher,Stephenson,67.01185633,f
Eric,Ortiz,117.7242458,t
Kara,Pittman,56.23964364,f
Andrew,Cowan,295.9391812,t
Rhonda,Moss,259.0397505,t
Sarah,Williams,92.82627714,f
Carolyn,Collins,236.2472888,t
Larry,Mooney,135.2701794,t
Laura,Livingston,294.2580699,t
Candace,Mckenzie,84.58145758,f
Candace,Wallace,124.7464543,t
Jason,White,218.4318041,t
Patricia,Reynolds,89.01176826,f
Michael,Ellison,244.4717106,t
Melissa,Robles,238.4560967,t
Heidi,Fry,109.6264717,t
James,Smith,163.9573856,t
Charles,Ruiz,48.45811847,f
Stephanie,Green,9.144974191,f
Stacey,Garcia,106.6192039,t
Glenda,Burke,206.3635063,t
Zachary,Alvarez,104.052369,t
Rachel,Shaw,2.448211506,f
Carmen,Beard,269.623685,t
Tony,Daniels,186.9035775,t
Randy,Mora,70.74105982,f
George,Aguirre,128.9497508,t
James,Miller,297.0405639,t
